epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.25342,0.69937,0.64677,1,0.66602,0.08545,0.00045,0.00045
2,20.2124,0.64146,0.73632,1,0.60449,0.0699116,0.000911586,0.000911586
3,31.0293,0.55822,0.84577,1,0.50549,0.0543542,0.00135416,0.00135416
4,41.4414,0.47092,0.89055,1,0.4032,0.0387777,0.00177773,0.00177773
5,50.6658,0.38095,0.90547,1,0.32007,0.0231823,0.0021823,0.0021823
6,61.7014,0.31341,0.94527,1,0.23737,0.00756785,0.00256785,0.00256785
7,73.012,0.2726,0.93532,1,0.18665,0.0026436,0.0026436,0.0026436
8,83.9382,0.24244,0.9602,1,0.14502,0.0025842,0.0025842,0.0025842
9,93.6669,0.17717,0.96517,1,0.11337,0.0025248,0.0025248,0.0025248
10,104.693,0.15966,0.97512,1,0.09131,0.0024654,0.0024654,0.0024654
11,115.921,0.15032,0.97512,1,0.09161,0.002406,0.002406,0.002406
12,127.324,0.13477,0.97512,1,0.09732,0.0023466,0.0023466,0.0023466
13,137.765,0.13071,0.97512,1,0.09647,0.0022872,0.0022872,0.0022872
14,148.109,0.12147,0.97512,1,0.09918,0.0022278,0.0022278,0.0022278
15,159.302,0.11718,0.9801,1,0.06644,0.0021684,0.0021684,0.0021684
16,170.453,0.11399,0.9801,1,0.06946,0.002109,0.002109,0.002109
17,181.446,0.08426,0.97512,1,0.06589,0.0020496,0.0020496,0.0020496
18,191.505,0.13368,0.98507,1,0.06458,0.0019902,0.0019902,0.0019902
19,202.855,0.09614,0.9801,1,0.08403,0.0019308,0.0019308,0.0019308
20,214.247,0.10634,0.99005,1,0.05075,0.0018714,0.0018714,0.0018714
21,225.533,0.09489,0.98507,1,0.04184,0.001812,0.001812,0.001812
22,234.851,0.08801,0.98507,1,0.04959,0.0017526,0.0017526,0.0017526
23,245.782,0.09754,0.98507,1,0.04279,0.0016932,0.0016932,0.0016932
24,256.69,0.0968,0.9801,1,0.04254,0.0016338,0.0016338,0.0016338
25,267.622,0.08263,0.98507,1,0.03587,0.0015744,0.0015744,0.0015744
26,277.006,0.08534,0.98507,1,0.0372,0.001515,0.001515,0.001515
27,287.765,0.08399,0.9801,1,0.04338,0.0014556,0.0014556,0.0014556
28,298.574,0.08255,0.98507,1,0.04181,0.0013962,0.0013962,0.0013962
29,308.88,0.06955,0.99502,1,0.03825,0.0013368,0.0013368,0.0013368
30,318.464,0.08131,0.99005,1,0.03726,0.0012774,0.0012774,0.0012774
31,329.214,0.06462,0.99005,1,0.03545,0.001218,0.001218,0.001218
32,339.96,0.0607,0.99005,1,0.0325,0.0011586,0.0011586,0.0011586
33,349.607,0.0814,0.99005,1,0.03308,0.0010992,0.0010992,0.0010992
34,359.643,0.05171,0.99005,1,0.03824,0.0010398,0.0010398,0.0010398
35,370.434,0.06009,0.99005,1,0.02721,0.0009804,0.0009804,0.0009804
36,380.89,0.06584,0.9801,1,0.03678,0.000921,0.000921,0.000921
37,389.998,0.05442,0.98507,1,0.03693,0.0008616,0.0008616,0.0008616
38,400.883,0.06244,0.99005,1,0.03492,0.0008022,0.0008022,0.0008022
39,411.509,0.06439,0.99005,1,0.03645,0.0007428,0.0007428,0.0007428
